-1	-1
30.0	69.999756
-1	-1
130.0	39.99976
-1	-1
230.0	20.0
220.0	120.0
220.0	120.0
220.0	10.0
-1	-1
130.0	270.0
220.0	260.0
-1	-1
40.0	160.0
20.0	120.0
-1	-1
180.0	209.999756
-1	-1
50.0	230.0
66.77153	207.018402
90.0	220.0
-1	-1
20.0	229.999756
-1	-1
80.0	130.0
80.0	120.0
80.0	120.0
120.0	120.0
120.0	120.0
120.0	150.0
-1	-1
70.0	49.99976
-1	-1
30.0	69.999756
-1	-1
130.0	39.99976
-1	-1
207.752151	52.120747
220.0	120.0
220.0	120.0
220.0	10.0
-1	-1
171.174149	259.049591
220.0	260.0
-1	-1
40.0	160.0
20.0	120.0
-1	-1
180.0	209.999756
-1	-1
66.77153	207.018402
90.0	220.0
-1	-1
20.0	229.999756
-1	-1
80.0	120.0
80.0	120.0
120.0	120.0
120.0	120.0
120.0	150.0
-1	-1
70.0	49.99976
